V;ic(t1);ic(t2);v(sweep)
1;0,00032888216082938;1,14839394882438E-6;1
1,00999999046326;0,000329443369992077;1,68666440458765E-6;1,00999999046326
1,01999998092651;0,000330258830217645;2,47532648245397E-6;1,01999998092651
1,02999997138977;0,000331443530740216;3,62871992365399E-6;1,02999997138977
1,03999996185303;0,000333161879098043;5,311062977853E-6;1,03999996185303
1,04999995231628;0,000335647288011387;7,75575153966201E-6;1,04999995231628
1,05999994277954;0,000339226331561804;1,12897077997331E-5;1,05999994277954
1,07000005245209;0,000344347208738327;1,63619060913334E-5;1,07000005245209
1,08000004291534;0,000351609312929213;2,35731949942419E-5;1,08000004291534
1,0900000333786;0,000361788523150608;3,37022611347493E-5;1,0900000333786
1,10000002384186;0,000375853705918416;4,7721292503411E-5;1,10000002384186
1,11000001430511;0,000394967937609181;6,67979911668226E-5;1,11000001430511
1,12000000476837;0,00042048140312545;9,22876424738206E-5;1,12000000476837
1,12999999523163;0,000453926884802058;0,000125728431157768;1,12999999523163
1,13999998569489;0,000497035391163081;0,00016885633522179;1,13999998569489
1,14999997615814;0,000551781035028398;0,000223650786210783;1,14999997615814
1,1599999666214;0,000620476377662271;0,000292402837658301;1,1599999666214
1,16999995708466;0,000705784477759153;0,000377858348656446;1,16999995708466
1,17999994754791;0,0008110161870718;0,000483254756545648;1,17999994754791
1,19000005722046;0,000940087775234133;0,000612539821304381;1,19000005722046
1,20000004768372;0,00109776214230806;0,000770482409279794;1,20000004768372
1,21000003814697;0,00128980411682278;0,0009628547122702;1,21000003814697
1,22000002861023;0,0015231806319207;0,00119663227815181;1,22000002861023
1,23000001907349;0,00180629245005548;0,00148022640496492;1,23000001907349
1,24000000953674;0,00214924337342381;0,00182375288568437;1,24000000953674
1,25;0,0025641496758908;0,00223934324458241;1,25
1,25999999046326;0,00306549482047558;0,00274150096811354;1,25999999046326
1,26999998092651;0,00367053598165512;0,00334749580360949;1,26999998092651
1,27999997138977;0,00439973454922438;0,00407782196998596;1,27999997138977
1,28999996185303;0,0052772518247366;0,00495666591450572;1,28999996185303
1,29999995231628;0,00633144425228238;0,00601242389529943;1,29999995231628
1,30999994277954;0,00759539101272821;0,00727819418534637;1,30999994277954
1,32000005245209;0,00910734571516514;0,00879229418933392;1,32000005245209
1,33000004291534;0,0109111815690994;0,0105986399576068;1,33000004291534
1,3400000333786;0,0130566656589508;0,0127470539882779;1,3400000333786
1,35000002384186;0,0155995553359389;0,0152933662757278;1,35000002384186
1,36000001430511;0,0186014678329229;0,0182992294430733;1,36000001430511
1,37000000476837;0,0221293419599533;0,0218316856771708;1,37000000476837
1,37999999523163;0,0262546241283417;0,025962246581912;1,37999999523163
1,38999998569489;0,0310519859194756;0,0307656582444906;1,38999998569489
1,39999997615814;0,0365976840257645;0,0363182500004768;1,39999997615814
